"file","status","reason","role","risk","lines","uses","used_by"
"PROGRESS.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","339","0","1"
"apps/admin/.eslintrc.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","3","0","0"
"apps/admin/eslint.config.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","21","2","2"
"apps/admin/next-env.d.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","5","1","0"
"apps/admin/next.config.mts","KEEP","Protected entrypoint/config/docs/pipeline file.","runtime-config","HIGH","18","0","0"
"apps/admin/package.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","27","0","0"
"apps/admin/src/app/layout.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","HIGH","18","4","0"
"apps/admin/src/app/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","7","0","47"
"apps/admin/tsconfig.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","21","0","0"
"apps/admin/tsconfig.tsbuildinfo","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","1","0","0"
"apps/api/.env.example","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","9","0","0"
"apps/api/RESEND_SETUP.md","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","50","0","0"
"apps/api/package.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","27","0","0"
"apps/api/src/emails/admin-notification.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","83","0","1"
"apps/api/src/emails/comment-moderation.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","44","0","1"
"apps/api/src/emails/welcome.ts","SPLIT","Large file (>250 lines) with likely mixed responsibilities.","supporting-artifact","LOW","327","0","1"
"apps/api/src/index.test.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","11","2","0"
"apps/api/src/index.ts","SPLIT","Large file (>250 lines) with likely mixed responsibilities.","supporting-artifact","LOW","345","12","2"
"apps/api/src/lib/generateColors.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","53","6","1"
"apps/api/src/server/api/root.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","7","3","3"
"apps/api/src/server/api/routers/movies/index.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","53","4","2"
"apps/api/src/server/api/routers/movies/mutations.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","35","2","2"
"apps/api/src/server/api/routers/movies/queries.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","43","1","3"
"apps/api/src/server/api/routers/movies/service.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","106","4","2"
"apps/api/src/server/api/routers/users/index.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","36","4","2"
"apps/api/src/server/api/routers/users/mutations.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","30","2","2"
"apps/api/src/server/api/routers/users/queries.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","24","2","3"
"apps/api/src/server/api/routers/users/service.ts","TRIM","Medium-large file; likely contains trim-able legacy/dead slices.","supporting-artifact","LOW","154","5","2"
"apps/api/src/server/context.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","8","1","2"
"apps/api/src/server/trpc.ts","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","5","2","3"
"apps/api/tsconfig.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","12","0","0"
"apps/api/vitest.config.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","8","1","0"
"apps/web/.env.example","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","25","0","0"
"apps/web/.eslintrc.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","3","0","0"
"apps/web/.seo/lh-movie-1318447.json","DELETE_CANDIDATE","Support artifact with no incoming usage.","supporting-artifact","LOW","10757","0","0"
"apps/web/.seo/lighthouse-home-mobile-full.json","DELETE_CANDIDATE","SEO/Lighthouse output artifact; regenerate on demand.","supporting-artifact","LOW","23849","0","0"
"apps/web/.seo/lighthouse-home-mobile-ultra.json","DELETE_CANDIDATE","SEO/Lighthouse output artifact; regenerate on demand.","supporting-artifact","LOW","20060","0","0"
"apps/web/.seo/lighthouse-home-mobile.json","DELETE_CANDIDATE","SEO/Lighthouse output artifact; regenerate on demand.","supporting-artifact","LOW","2009","0","0"
"apps/web/.seo/monitor-snapshot.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","13","0","0"
"apps/web/.seo/reports/latest.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","64","0","0"
"apps/web/.seo/route-chunks/_detail_movie_[id]_page.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","148","0","0"
"apps/web/.seo/route-chunks/_movie_[id]_page.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","178","0","0"
"apps/web/.seo/webmaster-loop.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","6","0","0"
"apps/web/HOW_TO_ENABLE_OAUTH.md","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","108","0","0"
"apps/web/OAUTH_SETUP.md","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","98","0","0"
"apps/web/QUICK_START.md","KEEP","Single-purpose file or protected wiring.","supporting-artifact","LOW","48","0","0"
"apps/web/docs/ARCH-ROUTING.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","45","0","0"
"apps/web/docs/SEO_OPERATIONS.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","173","0","0"
"apps/web/docs/SEO_PROGRAMMATIC_STAGE3.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","42","0","0"
"apps/web/docs/SEO_QA_RUNBOOK.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","74","0","0"
"apps/web/docs/adr/0001-data-plane-serving.md","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","15","0","0"
"apps/web/eslint.config.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","22","2","2"
"apps/web/layout-check-3011.png","DELETE_CANDIDATE","Diagnostic artifact, no runtime role.","supporting-artifact","LOW","2617","0","0"
"apps/web/layout-check-movies-3011.png","DELETE_CANDIDATE","Diagnostic artifact, no runtime role.","supporting-artifact","LOW","5566","0","0"
"apps/web/layout-check-movies-full-3010.png","DELETE_CANDIDATE","Diagnostic artifact, no runtime role.","supporting-artifact","LOW","18632","0","0"
"apps/web/layout-check-movies-full-3011.png","DELETE_CANDIDATE","Diagnostic artifact, no runtime role.","supporting-artifact","LOW","18961","0","0"
"apps/web/next-env.d.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","5","1","0"
"apps/web/next.config.mts","KEEP","Protected entrypoint/config/docs/pipeline file.","runtime-config","HIGH","123","0","0"
"apps/web/package.json","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","80","0","0"
"apps/web/postcss.config.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","supporting-artifact","LOW","8","0","0"
"apps/web/public/sw.js","TRIM","Medium-large file; likely contains trim-able legacy/dead slices.","supporting-artifact","LOW","141","0","0"
"apps/web/scripts/create-seo-page.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","95","4","0"
"apps/web/scripts/indexnow-submit-sitemap.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","130","1","0"
"apps/web/scripts/measure-route-client-chunks.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","107","3","0"
"apps/web/scripts/robots-disallow-utils.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","24","1","2"
"apps/web/scripts/seo-consistency-core.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","20","1","0"
"apps/web/scripts/seo-crawl-budget-core.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","35","1","2"
"apps/web/scripts/seo-internal-links-core.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","55","1","1"
"apps/web/scripts/seo-monitor-regression.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","301","3","0"
"apps/web/scripts/seo-nightly.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","117","3","0"
"apps/web/scripts/seo-programmatic-policy.json","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","85","0","0"
"apps/web/scripts/seo-route-policy.json","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","62","0","0"
"apps/web/scripts/seo-scaffold-core.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","110","2","4"
"apps/web/scripts/seo-smoke.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","256","3","0"
"apps/web/scripts/seo-webmaster-loop.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","74","2","0"
"apps/web/scripts/seo-weekly-audit.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","251","3","0"
"apps/web/scripts/sitemap-urlset-utils.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","63","0","3"
"apps/web/scripts/sync-seo-scaffold-staged.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","101","4","0"
"apps/web/scripts/trigger-indexnow-endpoint.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","49","0","0"
"apps/web/scripts/ts-ast-utils.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","67","1","3"
"apps/web/scripts/verify-jsonld-coverage.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","32","3","0"
"apps/web/scripts/verify-route-chunk-budget.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","61","2","0"
"apps/web/scripts/verify-semantic-button-states.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","LOW","110","3","0"
"apps/web/scripts/verify-seo-canonical-contract.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","71","3","0"
"apps/web/scripts/verify-seo-consistency.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","146","5","0"
"apps/web/scripts/verify-seo-contracts.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","124","4","0"
"apps/web/scripts/verify-seo-crawl-budget.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","143","4","0"
"apps/web/scripts/verify-seo-freshness-eeat.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","197","4","0"
"apps/web/scripts/verify-seo-infra.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","136","3","0"
"apps/web/scripts/verify-seo-internal-links.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","82","3","0"
"apps/web/scripts/verify-seo-noindex-robots.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","194","4","0"
"apps/web/scripts/verify-seo-programmatic-policy.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","167","2","0"
"apps/web/scripts/verify-seo-report.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","89","3","0"
"apps/web/scripts/verify-seo-scaffold-staged.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","61","2","0"
"apps/web/scripts/verify-seo-scaffold.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","47","3","0"
"apps/web/scripts/verify-seo-schema-contract.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","456","4","0"
"apps/web/scripts/verify-seo-sitemap-contract.mjs","KEEP","Protected entrypoint/config/docs/pipeline file.","seo-or-build-script","MEDIUM","38","3","0"
"apps/web/src/app/(detail)/layout.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","HIGH","5","2","0"
"apps/web/src/app/(detail)/movie/[id]/error.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","86","0","2"
"apps/web/src/app/(detail)/movie/[id]/error.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","MEDIUM","41","2","2"
"apps/web/src/app/(detail)/movie/[id]/loading.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","78","0","3"
"apps/web/src/app/(detail)/movie/[id]/loading.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","MEDIUM","34","1","3"
"apps/web/src/app/(detail)/movie/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(detail)/movie/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","HIGH","298","17","47"
"apps/web/src/app/(site)/about/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/about/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","136","7","47"
"apps/web/src/app/(site)/accessibility/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/accessibility/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","154","6","47"
"apps/web/src/app/(site)/cartoon/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/cartoon/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","9","2","47"
"apps/web/src/app/(site)/cartoons/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/cartoons/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","218","9","47"
"apps/web/src/app/(site)/categories/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/categories/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","27","4","47"
"apps/web/src/app/(site)/contact/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/contact/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","130","6","47"
"apps/web/src/app/(site)/cookies/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/cookies/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","210","6","47"
"apps/web/src/app/(site)/dmca/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/dmca/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","188","6","47"
"apps/web/src/app/(site)/entity/[slug]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","41","0","38"
"apps/web/src/app/(site)/entity/[slug]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","94","9","47"
"apps/web/src/app/(site)/gdpr/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/gdpr/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","276","6","47"
"apps/web/src/app/(site)/help/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/help/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","181","6","47"
"apps/web/src/app/(site)/layout.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","HIGH","5","2","0"
"apps/web/src/app/(site)/login/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","22","4","47"
"apps/web/src/app/(site)/movies/category/[genre]/about/error.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","MEDIUM","16","1","2"
"apps/web/src/app/(site)/movies/category/[genre]/about/loading.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","MEDIUM","11","1","3"
"apps/web/src/app/(site)/movies/category/[genre]/about/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","330","11","47"
"apps/web/src/app/(site)/movies/category/[genre]/hub.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","152","0","4"
"apps/web/src/app/(site)/movies/category/[genre]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","204","13","47"
"apps/web/src/app/(site)/movies/loading.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","73","0","3"
"apps/web/src/app/(site)/movies/loading.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","MEDIUM","14","1","3"
"apps/web/src/app/(site)/movies/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/movies/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","167","11","47"
"apps/web/src/app/(site)/movies/random/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","26","5","47"
"apps/web/src/app/(site)/notifications/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","14","0","38"
"apps/web/src/app/(site)/notifications/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","24","4","47"
"apps/web/src/app/(site)/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","19","0","38"
"apps/web/src/app/(site)/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","57","10","47"
"apps/web/src/app/(site)/person/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","479","0","38"
"apps/web/src/app/(site)/person/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","642","19","47"
"apps/web/src/app/(site)/privacy/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/privacy/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","357","6","47"
"apps/web/src/app/(site)/profile/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","22","4","47"
"apps/web/src/app/(site)/register/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/register/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","25","5","47"
"apps/web/src/app/(site)/search/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/search/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","75","8","47"
"apps/web/src/app/(site)/series/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/series/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","23","3","47"
"apps/web/src/app/(site)/series/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/series/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","236","9","47"
"apps/web/src/app/(site)/settings/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/settings/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","134","6","47"
"apps/web/src/app/(site)/terms/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/terms/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","228","6","47"
"apps/web/src/app/(site)/trailer/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","77","0","38"
"apps/web/src/app/(site)/trailer/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","129","10","47"
"apps/web/src/app/(site)/tvshow/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/tvshow/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","13","2","47"
"apps/web/src/app/(site)/tvshows/[id]/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/tvshows/[id]/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","13","2","47"
"apps/web/src/app/(site)/tvshows/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","4","0","38"
"apps/web/src/app/(site)/tvshows/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","221","8","47"
"apps/web/src/app/(site)/ui-kit/layout.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","HIGH","16","1","0"
"apps/web/src/app/(site)/ui-kit/page.module.css","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","96","0","38"
"apps/web/src/app/(site)/ui-kit/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","144","9","47"
"apps/web/src/app/(site)/watchlist/page.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","21","4","47"
"apps/web/src/app/_shells/DetailShell.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","12","2","1"
"apps/web/src/app/_shells/SiteShell.tsx","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","16","4","1"
"apps/web/src/app/api/auth/[...nextauth]/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","144","4","13"
"apps/web/src/app/api/cartoons-discover/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","76","3","13"
"apps/web/src/app/api/discover/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","77","3","13"
"apps/web/src/app/api/random-movie/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","143","3","13"
"apps/web/src/app/api/revalidate/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","97","3","13"
"apps/web/src/app/api/search/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","157","2","13"
"apps/web/src/app/api/seo/indexnow/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","164","3","13"
"apps/web/src/app/api/series-discover/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","88","3","13"
"apps/web/src/app/api/tv/[id]/season/[seasonNumber]/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","60","2","13"
"apps/web/src/app/api/tv/[id]/seasons/route.ts","KEEP","Protected entrypoint/config/docs/pipeline file.","app-entry-or-route","LOW","64","2","13"
